CODIGOISIMP;AUTORIZACAO;DATAPUBLICACAO;RAZAOSOCIAL;CNPJ;ENDERECO;COMPLEMENTO;BAIRRO;CEP;UF;MUNICIPIO;DISTRIBUIDORA;DATAVINCULACAO;CLASSE
1220673;GLP/CE0234352;01/06/2016;J & L COMERCIO DE COMBUSTIVEIS LTDA;21152627000138;RUA HERMES CASTELO BRANCO,  41;;JACANAU;61915430;CE;MARACANAU;NACIONAL GAS BUTANO;05/05/2016;1 AREA  - Classe I - NBR 15514
1215946;GLP/SP0230077;09/07/2015;VERA MARTINS DE OLIVEIRA 29571409855;17576583000104;RUA JOÃO XXII,  53;;CENTRO;18935000;SP;ESPIRITO SANTO DO TURVO;INDEPENDENTE;05/05/2016;1 AREA  - Classe II - NBR 15514
1221756;GLP/SP0233204;08/03/2016;ANSELMO ARIELO GAS;23951392000170;RUA WALTER BARBOSA,  1910;;JARDIM LUIZA;14407580;SP;FRANCA;NACIONAL GAS BUTANO;23/02/2016;1 AREA  - Classe IV - NBR 15514
1219723;GLP/PB0232041;09/12/2015;JOSENILSON JOÃO DE SOUZA;23338252000120;1 DE SETEMBRO - LOTE VARZEA NOVA,  69;;SANTA RITA;58300970;PB;VARZEA;BAHIANA;17/11/2015;1 AREA  - Classe I - NBR 15514
1226063;GLP/SC0235613;10/08/2016;BRAATZ MERCEARIA LTDA ME;09384758000145;RUA SANTA CATARINA,  324;;COHAB;89680000;SC;IRANI;SUPERGASBRAS ENERGIA;29/04/2016;1 AREA  - Classe I - NBR 15514
1227028;GLP/MG0236135;14/09/2016;DARCI DOS SANTOS ME;08275542000189;SAO JOAO EVANGELISTA,  116;;ROSARIO;39705000;MG;SAO JOAO EVANGELISTA;INDEPENDENTE;05/05/2016;1 AREA  - Classe I - NBR 15514
1221058;GLP/PR0232791;04/02/2016;D. L. A. SUPERMERCADO LTDA;07680016000131;AV. CAPITÃO HEITOR MENDES,  750;;PORTO MENDES;85976000;PR;MARECHAL CANDIDO RONDON;ULTRAGAZ;23/10/2015;1 AREA  - Classe I - NBR 15514
1233934;GLP/GO0239907;30/05/2017;MV FAUSTINO DE JESUS - ME;26245054000100;AV JK,  S/N;QUADRA 25A  LOTE 07;SETOR SUDOESTE;76230000;GO;PIRANHAS;NACIONAL GAS BUTANO;30/05/2017;1 AREA  - Classe III - NBR 15514
1237025;GLP/SP0241719;06/09/2017;LUCIANA VALE DE PAULA;24523898000140;AVENIDA JOSÉ HERCULANO,  4635;;PRAIA DAS PALMEIRAS;11666000;SP;CARAGUATATUBA;LIQUIGAS;06/09/2017;1 AREA  - Classe III - NBR 15514
1262412;GLPPR0353339;13/03/2020;LDN COMERCIO DE GAS LTDA;34456685000105;AVENIDA SANTA MONICA,  212;;FRANCA;86027610;PR;LONDRINA;INDEPENDENTE;13/03/2020;1 AREA  - Classe II - NBR 15514
1249954;GLP/MT0246196;19/12/2018;GARANTIA COMERCIO E PARTICIPACOES LTDA.;05945825002650;AV SENADOR JULIO JOSE DE CAMPOS,  786;QUADRA BI  LOTE 06 B;SETOR INDUSTRIAL;78580000;MT;ALTA FLORESTA;INDEPENDENTE;19/12/2018;1 AREA  - Classe VI - NBR 15514
1238009;GLP/MG0242261;04/10/2017;RICHER JUNIOR DA SILVA 13341641696;26845756000125;ALAMEDA GEORGE NORMANN KUTOWA,  40;;FURNASTUR;35570000;MG;FORMIGA;INDEPENDENTE;07/06/2018;1 AREA  - Classe III - NBR 15514
1241311;GLP/MA0243973;26/02/2018;ELTON GAS LTDA;27264723000154;AVENIDA BREJO DO PINTO,  00;;BREJO DO PINTO II;65975000;MA;ESTREITO;SUPERGASBRAS ENERGIA;21/08/2024;1 AREA  - Classe II - NBR 15514
1248217;GLPGO0306641;17/10/2018;CB DISK GAS BRAGA EIRELI;30190163000145;RUA JOAO BATISTA GOMES,  S/N;QUADRA164                 LOTE  06;CHACARAS SAO PEDRO;74923183;GO;APARECIDA DE GOIANIA;INDEPENDENTE;12/11/2018;1 AREA  - Classe II - NBR 15514
1251415;GLPSP0314324;07/02/2019;EUNICE MORAES DE FREITAS;13035392000257;RUA JOAO FRANCO DE CAMARGO,  905;;CENTRO;12955000;SP;BOM JESUS DOS PERDOES;NACIONAL GAS BUTANO;11/03/2024;1 AREA  - Classe III - NBR 15514
1252718;GLPPI0316547;25/03/2019;S M DA SILVA;07938158000156;RUA IVAN TITO DE OLIVEIRA,  2490;QUADRA6                   LOTE  4;LOURIVAL PARENTE;64022118;PI;TERESINA;NACIONAL GAS BUTANO;25/03/2019;1 AREA  - Classe III - NBR 15514
1245718;GLPSP0302645;20/07/2018;BARAOZINHO COMERCIO DE GAS LTDA;29279811000155;AVENIDA BARAO DE MAUA,  3108;;JARDIM MARINGA;9340440;SP;MAUA;INDEPENDENTE;20/07/2018;1 AREA  - Classe IV - NBR 15514
1252858;GLPBA0316819;29/03/2019;CABULA GAS LTDA;32781765000100;RUA SANTA BARBARA DO ARRAIAL DO RETIRO,  17;;ARRAIAL DO RETIRO;41204017;BA;SALVADOR;BAHIANA;26/05/2021;2 AREAS - Classe II - NBR 15514
1247707;GLP/BA0246147;27/09/2018;OLIVEIRA COMERCIO DE GAS DE COZINHA LTDA;26264755000197;RUA   MIGUELITO,  231;;NORDESTE;41905885;BA;SALVADOR;BAHIANA;27/09/2018;1 AREA  - Classe III - NBR 15514
1247070;GLPMG0304574;06/09/2018;FERNANDO GERALDO DE JESUS;30750474000111;RUA DOUTOR EDUARDO DE OLIVEIRA MARLIERE,  120;;NOVA ESPERANCA;35931330;MG;JOAO MONLEVADE;SUPERGASBRAS ENERGIA;06/09/2018;1 AREA  - Classe II - NBR 15514
1255758;GLPSC0326390;16/07/2019;RUTE ALBA PATRICIO DA SILVA;04815850000107;RUA 27 DE SETEMBRO,  SN;;CENTRO;88717000;SC;SANGAO;LIQUIGAS;16/07/2019;1 AREA  - Classe I - NBR 15514
